rank,keyword_id,surface_form,canonical_concept,tf,df,prevalence,character_count,chapter_count,max_chapter_share,quartile_1_df,quartile_2_df,quartile_3_df,quartile_4_df,story_local_flag,frequency_tier,include_core,include_main,include_extended,word_type,semantic_categories,segmentation_source,notes
51,lpw_fb43354d2a,自己,自己,38,37,0.013041945717307015,2,16,0.16216216216216217,7,12,7,11,false,main,false,true,true,pronoun,pronoun,intl_zh_word,
52,lpw_2442748e41,把,把,37,37,0.013041945717307015,1,19,0.10810810810810811,17,7,8,5,false,main,false,true,true,function,function,intl_zh_word,
53,lpw_0a93e4ffe2,狐狸,狐狸,36,36,0.01268946069792034,2,3,0.8333333333333334,0,0,29,7,true,main,false,false,false,noun_or_entity,narrative_character,custom_phrase,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
54,lpw_79f43de6e3,里,里,36,36,0.01268946069792034,1,18,0.1388888888888889,14,5,7,10,false,main,false,true,true,function,function,intl_zh_word,
55,lpw_b02dfe2160,不,不,34,34,0.011984490659146986,1,19,0.11764705882352941,10,10,5,9,false,main,false,true,true,verb_or_predicate,negation_modality,intl_zh_word,
56,lpw_88aa006eb3,就是,就是,34,34,0.011984490659146986,2,17,0.17647058823529413,13,9,6,6,false,main,false,true,true,other,other,intl_zh_word,
57,lpw_238b95ae07,绵羊,羊,34,34,0.011984490659146986,2,7,0.35294117647058826,26,0,0,8,true,main,false,false,false,noun_or_entity,concrete_entity,custom_phrase,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
58,lpw_c40b3d2880,它们,它们,34,34,0.011984490659146986,2,12,0.4117647058823529,9,17,1,7,false,main,false,true,true,pronoun,pronoun,intl_zh_word,
59,lpw_f127804b92,没有,没有,33,33,0.01163200563976031,2,15,0.18181818181818182,5,10,8,10,false,main,false,true,true,verb_or_predicate,negation_modality,intl_zh_word,
60,lpw_4628c0e06f,问,问,33,32,0.011279520620373634,1,20,0.125,9,7,9,7,false,main,false,true,true,verb_or_predicate,speech,intl_zh_word,
61,lpw_6a7339bb75,小,小,32,32,0.011279520620373634,1,12,0.28125,8,8,4,12,false,main,false,true,true,other,other,intl_zh_word,
62,lpw_409e2c3882,只,只,32,32,0.011279520620373634,1,15,0.28125,13,7,5,7,false,main,false,true,true,function,function,intl_zh_word,
63,lpw_f867f34178,好,好,34,31,0.010927035600986958,1,14,0.22580645161290322,7,10,11,3,false,main,false,true,true,other,other,intl_zh_word,
64,lpw_795cfc96d4,因为,因为,31,31,0.010927035600986958,2,12,0.16129032258064516,5,10,7,9,false,main,false,true,true,function,function,intl_zh_word,
65,lpw_b7fc681861,这样,这样,31,31,0.010927035600986958,2,16,0.16129032258064516,13,10,3,5,false,main,false,true,true,other,other,intl_zh_word,
66,lpw_7eabb36ba1,都,都,30,30,0.010574550581600282,1,15,0.16666666666666666,10,8,10,2,false,main,false,true,true,function,function,intl_zh_word,
67,lpw_1d9ed56951,事,事,30,30,0.010574550581600282,1,10,0.3,9,13,4,4,false,main,false,true,true,other,other,intl_zh_word,
68,lpw_19a29e87c9,这儿,这儿,30,30,0.010574550581600282,2,17,0.13333333333333333,6,6,11,7,false,main,false,true,true,other,other,intl_zh_word,
69,lpw_cf8cedd58b,像,像,29,29,0.010222065562213606,1,13,0.20689655172413793,11,3,4,11,false,extended,false,false,true,other,other,intl_zh_word,
70,lpw_9dc5c0158d,一样,一样,29,29,0.010222065562213606,2,15,0.1724137931034483,6,4,8,11,false,extended,false,false,true,other,other,intl_zh_word,
71,lpw_61f43315f9,看,看,28,28,0.00986958054282693,1,14,0.17857142857142858,11,8,4,5,false,extended,false,false,true,verb_or_predicate,perception,intl_zh_word,
72,lpw_0ef5c86fab,可以,可以,28,28,0.00986958054282693,2,11,0.17857142857142858,7,9,9,3,false,extended,false,false,true,verb_or_predicate,negation_modality,intl_zh_word,
73,lpw_df0d251938,想,想,28,28,0.00986958054282693,1,15,0.14285714285714285,6,7,11,4,false,extended,false,false,true,verb_or_predicate,cognition,intl_zh_word,
74,lpw_2719a8ea30,从,从,27,27,0.009517095523440254,1,14,0.25925925925925924,14,4,5,4,false,extended,false,false,true,function,function,intl_zh_word,
75,lpw_383a53d95c,跟,跟,27,27,0.009517095523440254,1,14,0.18518518518518517,10,6,7,4,false,extended,false,false,true,function,function,intl_zh_word,
76,lpw_03fe6b38e7,呀,呀,27,27,0.009517095523440254,1,14,0.18518518518518517,8,8,8,3,false,extended,false,false,true,function,function,intl_zh_word,
77,lpw_467b2562ed,要是,要是,27,27,0.009517095523440254,2,16,0.14814814814814814,11,4,5,7,false,extended,false,false,true,function,function,intl_zh_word,
78,lpw_1bc709b8bf,还,还,26,26,0.009164610504053579,1,15,0.15384615384615385,6,6,9,5,false,extended,false,false,true,other,other,intl_zh_word,
79,lpw_5ac1612110,吗,吗,26,26,0.009164610504053579,1,12,0.19230769230769232,9,4,7,6,false,extended,false,false,true,function,function|interrogative,intl_zh_word,
80,lpw_a61f02e145,那么,那么,26,26,0.009164610504053579,2,13,0.15384615384615385,4,10,8,4,false,extended,false,false,true,function,function,intl_zh_word,
81,lpw_bad8b6c7ae,吧,吧,25,25,0.008812125484666901,1,12,0.2,2,2,10,11,false,extended,false,false,true,function,function,intl_zh_word,
82,lpw_443053caf3,地理学家,地理学家,25,25,0.008812125484666901,4,2,0.96,0,0,25,0,true,extended,false,false,false,noun_or_entity,narrative_character,custom_phrase,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
83,lpw_08e2725ce1,而,而,25,25,0.008812125484666901,1,12,0.2,7,2,4,12,false,extended,false,false,true,function,function,intl_zh_word,
84,lpw_15c2457566,感到,感到,25,25,0.008812125484666901,2,16,0.2,4,6,6,9,false,extended,false,false,true,verb_or_predicate,perception,custom_phrase,
85,lpw_4fbf406572,沙漠,沙漠,25,25,0.008812125484666901,2,9,0.32,3,0,9,13,false,extended,false,false,true,noun_or_entity,place,custom_phrase,
86,lpw_04e45efb3b,用,用,25,25,0.008812125484666901,1,13,0.16,9,7,1,8,false,extended,false,false,true,other,other,intl_zh_word,
87,lpw_7677ca84c6,这么,这么,25,25,0.008812125484666901,2,17,0.12,7,7,5,6,false,extended,false,false,true,other,other,intl_zh_word,
88,lpw_72113362c6,不过,不过,24,24,0.008459640465280225,2,12,0.20833333333333334,5,8,10,1,false,extended,false,false,true,function,function,intl_zh_word,
89,lpw_677aad1a0e,朋友,朋友,24,24,0.008459640465280225,2,9,0.25,9,0,9,6,false,extended,false,false,true,other,emotion_social,custom_phrase,
90,lpw_44dd6014a5,大人,大人,23,23,0.008107155445893549,2,11,0.30434782608695654,15,5,2,1,false,extended,false,false,true,noun_or_entity,narrative_character,custom_phrase,
91,lpw_1462a7d853,地方,地方,23,23,0.008107155445893549,2,13,0.17391304347826086,4,4,7,8,false,extended,false,false,true,other,other,intl_zh_word,
92,lpw_1ec087a5d0,猴面包树,猴面包树,23,23,0.008107155445893549,4,5,0.782608695652174,18,2,1,2,true,extended,false,false,false,noun_or_entity,concrete_entity,custom_phrase,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
93,lpw_e7ace7adf2,太,太,23,23,0.008107155445893549,1,14,0.17391304347826086,8,8,2,5,false,extended,false,false,true,other,other,intl_zh_word,
94,lpw_aebd6fbbd2,一朵,一朵,23,23,0.008107155445893549,2,15,0.13043478260869565,2,6,10,5,false,extended,false,false,true,other,other,intl_zh_word,
95,lpw_7a590a22cd,这些,这些,23,23,0.008107155445893549,2,13,0.34782608695652173,3,14,4,2,false,extended,false,false,true,function,function,intl_zh_word,
96,lpw_49da61ceee,天,天,22,22,0.007754670426506873,1,12,0.2727272727272727,7,1,4,10,false,extended,false,false,true,other,other,intl_zh_word,
97,lpw_a0cc5593ee,来说,来说,21,21,0.007402185407120197,2,10,0.3333333333333333,3,1,7,10,false,extended,false,false,true,other,other,intl_zh_word,
98,lpw_29506aa712,有点,有点,21,21,0.007402185407120197,2,13,0.14285714285714285,3,6,5,7,false,extended,false,false,true,other,other,intl_zh_word,
99,lpw_b181350186,东西,东西,21,20,0.007049700387733521,2,8,0.35,0,3,5,12,false,extended,false,false,true,other,other,intl_zh_word,
100,lpw_eeef861b87,地球,地球,20,20,0.007049700387733521,2,10,0.35,2,1,14,3,false,extended,false,false,true,noun_or_entity,place,custom_phrase,
101,lpw_78c82d9f41,觉得,觉得,20,20,0.007049700387733521,2,11,0.2,3,8,2,7,false,extended,false,false,true,verb_or_predicate,cognition,custom_phrase,
102,lpw_7205426737,看见,看见,20,20,0.007049700387733521,2,13,0.35,3,5,4,8,false,extended,false,false,true,verb_or_predicate,perception,custom_phrase,
103,lpw_a6664df1ef,玫瑰,玫瑰,20,20,0.007049700387733521,2,6,0.5,3,0,9,8,false,extended,false,false,true,noun_or_entity,narrative_character|concrete_entity,intl_zh_word,
104,lpw_abd258db99,那些,那些,20,20,0.007049700387733521,2,11,0.2,9,5,3,3,false,extended,false,false,true,function,function,intl_zh_word,
105,lpw_b8a694b2df,起来,起来,20,20,0.007049700387733521,2,12,0.2,4,4,3,9,false,extended,false,false,true,other,other,intl_zh_word,
106,lpw_693e132f27,声,声,20,20,0.007049700387733521,1,7,0.35,1,3,4,12,false,extended,false,false,true,other,other,intl_zh_word,
107,lpw_7c2c50fbaf,啊,啊,21,19,0.0066972153683468455,1,12,0.15789473684210525,7,5,3,4,false,exploratory,false,false,false,function,function,intl_zh_word,
108,lpw_7d4ca7f48e,大,大,19,19,0.0066972153683468455,1,8,0.2631578947368421,11,1,7,0,false,exploratory,false,false,false,other,other,intl_zh_word,
109,lpw_5e1dc2a833,的是,的是,19,19,0.0066972153683468455,2,12,0.21052631578947367,5,2,9,3,false,exploratory,false,false,false,other,other,intl_zh_word,
110,lpw_1ed5efc3dc,儿,儿,19,19,0.0066972153683468455,1,14,0.10526315789473684,5,3,4,7,false,exploratory,false,false,false,other,other,intl_zh_word,
111,lpw_3a1a30dbb2,就像,就像,19,19,0.0066972153683468455,2,10,0.3157894736842105,4,0,4,11,false,exploratory,false,false,false,other,other,intl_zh_word,
112,lpw_8e37cd5f7f,明白,明白,19,19,0.0066972153683468455,2,12,0.15789473684210525,8,2,3,6,false,exploratory,false,false,false,verb_or_predicate,cognition,custom_phrase,
113,lpw_928f87d450,命令,命令,19,19,0.0066972153683468455,2,1,1,0,19,0,0,true,exploratory,false,false,false,verb_or_predicate,speech,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
114,lpw_b4444021ad,那儿,那儿,19,19,0.0066972153683468455,2,14,0.10526315789473684,7,2,7,3,false,exploratory,false,false,false,other,other,intl_zh_word,
115,lpw_a2f7e42081,所以,所以,19,19,0.0066972153683468455,2,13,0.21052631578947367,5,4,8,2,false,exploratory,false,false,false,function,function,intl_zh_word,
116,lpw_33a8618cb6,问题,问题,19,19,0.0066972153683468455,2,11,0.15789473684210525,7,5,1,6,false,exploratory,false,false,false,other,other,intl_zh_word,
117,lpw_bcacb40df8,我们,我们,19,19,0.0066972153683468455,2,10,0.21052631578947367,3,1,8,7,false,exploratory,false,false,false,pronoun,pronoun,intl_zh_word,
118,lpw_9a18d5dc38,一颗,一颗,19,19,0.0066972153683468455,2,10,0.2631578947368421,7,6,2,4,false,exploratory,false,false,false,noun_or_entity,time_quantity,intl_zh_word,
119,lpw_8ee12e2310,已经,已经,19,19,0.0066972153683468455,2,12,0.15789473684210525,5,7,1,6,false,exploratory,false,false,false,other,other,intl_zh_word,
120,lpw_2ccec3b419,非常,非常,19,18,0.00634473034896017,2,11,0.16666666666666666,9,4,4,1,false,exploratory,false,false,false,other,other,intl_zh_word,
121,lpw_ba8bd7c8c9,只有,只有,19,18,0.00634473034896017,2,10,0.16666666666666666,1,3,9,5,false,exploratory,false,false,false,other,other,intl_zh_word,
122,lpw_1f863793c6,但,但,18,18,0.00634473034896017,1,11,0.16666666666666666,6,2,2,8,false,exploratory,false,false,false,other,other,intl_zh_word,
123,lpw_b56f36b529,到,到,18,18,0.00634473034896017,1,11,0.2222222222222222,2,3,5,8,false,exploratory,false,false,false,other,other,intl_zh_word,
124,lpw_dd18ed3fb2,点灯人,点灯人,18,18,0.00634473034896017,3,3,0.6666666666666666,0,6,12,0,true,exploratory,false,false,false,noun_or_entity,narrative_character,custom_phrase,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
125,lpw_0da9a35a4b,朵,朵,18,18,0.00634473034896017,1,9,0.2777777777777778,3,8,5,2,false,exploratory,false,false,false,other,other,intl_zh_word,
126,lpw_dfaa7d6f73,还是,还是,18,18,0.00634473034896017,2,10,0.16666666666666666,4,8,1,5,false,exploratory,false,false,false,other,other,intl_zh_word,
127,lpw_dc749837f4,火山,火山,18,18,0.00634473034896017,2,5,0.3888888888888889,0,10,8,0,true,exploratory,false,false,false,noun_or_entity,place|concrete_entity,custom_phrase,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
128,lpw_1ca2298198,哪儿,哪儿,18,18,0.00634473034896017,2,9,0.2777777777777778,6,3,7,2,false,exploratory,false,false,false,other,interrogative,intl_zh_word,
129,lpw_413c06bcef,能,能,18,18,0.00634473034896017,1,11,0.16666666666666666,4,5,6,3,false,exploratory,false,false,false,other,other,intl_zh_word,
130,lpw_056b9c6262,谁,谁,18,18,0.00634473034896017,1,10,0.2222222222222222,1,6,8,3,false,exploratory,false,false,false,pronoun,pronoun|interrogative,intl_zh_word,
131,lpw_8b6ff49851,时间,时间,18,18,0.00634473034896017,2,11,0.3333333333333333,2,5,9,2,false,exploratory,false,false,false,noun_or_entity,time_quantity,custom_phrase,
132,lpw_216a478784,一只,一只,18,18,0.00634473034896017,2,9,0.3333333333333333,9,4,2,3,false,exploratory,false,false,false,noun_or_entity,time_quantity,intl_zh_word,
133,lpw_fa6e73c549,那个,那个,18,17,0.005992245329573493,2,11,0.17647058823529413,4,8,3,2,false,exploratory,false,false,false,function,function,intl_zh_word,
134,lpw_142d843e71,当,当,17,17,0.005992245329573493,1,12,0.17647058823529413,4,7,2,4,false,exploratory,false,false,false,other,other,intl_zh_word,
135,lpw_1940119f05,多,多,17,17,0.005992245329573493,1,13,0.11764705882352941,6,3,4,4,false,exploratory,false,false,false,other,other,intl_zh_word,
136,lpw_9bbfbbc76f,您,您,17,17,0.005992245329573493,1,5,0.35294117647058826,0,13,4,0,true,exploratory,false,false,false,pronoun,pronoun,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
137,lpw_59cbe38d1c,我有,我有,17,17,0.005992245329573493,2,10,0.23529411764705882,4,7,3,3,false,exploratory,false,false,false,other,other,intl_zh_word,
138,lpw_c9b87f516a,五,五,17,17,0.005992245329573493,1,5,0.7058823529411765,0,13,1,3,true,exploratory,false,false,false,other,other,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
139,lpw_13c12b064b,下,下,17,17,0.005992245329573493,1,10,0.23529411764705882,1,6,6,4,false,exploratory,false,false,false,function,function,intl_zh_word,
140,lpw_c3a6e91c19,驯,驯,17,17,0.005992245329573493,1,2,0.9411764705882353,0,0,15,2,true,exploratory,false,false,false,other,other,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
141,lpw_827d018e1b,真,真,17,17,0.005992245329573493,1,13,0.17647058823529413,6,5,3,3,false,exploratory,false,false,false,other,other,intl_zh_word,
142,lpw_94f5404441,做,做,17,17,0.005992245329573493,1,12,0.23529411764705882,2,7,4,4,false,exploratory,false,false,false,other,other,intl_zh_word,
143,lpw_5ee8091a38,怎么,怎么,18,16,0.005639760310186817,2,13,0.125,5,5,3,3,false,exploratory,false,false,false,other,interrogative,intl_zh_word,
144,lpw_597ae23d84,长,长,17,16,0.005639760310186817,1,12,0.1875,8,3,5,0,false,exploratory,false,false,false,other,other,intl_zh_word,
145,lpw_bafe3b2ee7,爱,爱,16,16,0.005639760310186817,1,7,0.5625,2,10,2,2,false,exploratory,false,false,false,other,emotion_social,intl_zh_word,
146,lpw_e49587b1da,蛇,蛇,16,16,0.005639760310186817,1,2,0.625,0,0,10,6,true,exploratory,false,false,false,noun_or_entity,narrative_character|concrete_entity,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
147,lpw_33f40475f8,我在,我在,16,16,0.005639760310186817,2,10,0.1875,2,5,4,5,false,exploratory,false,false,false,other,other,intl_zh_word,
148,lpw_d657ee1d4a,正,正,16,16,0.005639760310186817,1,4,0.4375,8,8,0,0,true,exploratory,false,false,false,other,other,intl_zh_word,保留在主表，但因章节/全文位置集中而不进入通用嵌套评估集
149,lpw_19956b104c,行星,行星,17,15,0.005287275290800141,2,10,0.2,1,6,8,0,false,exploratory,false,false,false,other,other,intl_zh_word,
150,lpw_584cd0fcf3,不是,不是,15,15,0.005287275290800141,2,10,0.2,6,1,4,4,false,exploratory,false,false,false,other,other,intl_zh_word,
151,lpw_0002e2d87f,当然,当然,15,15,0.005287275290800141,2,13,0.13333333333333333,4,3,5,3,false,exploratory,false,false,false,other,other,intl_zh_word,
152,lpw_9ee0280bc4,干,干,15,15,0.005287275290800141,1,8,0.2,5,5,5,0,false,exploratory,false,false,false,other,other,intl_zh_word,
153,lpw_09901d3de2,颗,颗,15,15,0.005287275290800141,1,11,0.13333333333333333,4,5,6,0,false,exploratory,false,false,false,other,other,intl_zh_word,
154,lpw_83385d2eda,两,两,15,15,0.005287275290800141,1,9,0.26666666666666666,1,3,9,2,false,exploratory,false,false,false,other,other,intl_zh_word,
155,lpw_7d58b6422c,时,时,15,15,0.005287275290800141,1,9,0.2,5,1,1,8,false,exploratory,false,false,false,other,other,intl_zh_word,
156,lpw_1b919bb478,为什么,为什么,15,15,0.005287275290800141,3,9,0.2,4,4,4,3,false,exploratory,false,false,false,other,interrogative,intl_zh_word,
157,lpw_06ba27715e,我是,我是,15,15,0.005287275290800141,2,11,0.26666666666666666,4,7,3,1,false,exploratory,false,false,false,other,other,intl_zh_word,
158,lpw_395ae225e5,亿,亿,15,15,0.005287275290800141,1,5,0.6,0,9,3,3,false,exploratory,false,false,false,other,other,intl_zh_word,
159,lpw_a8cd9642aa,重要,重要,15,15,0.005287275290800141,2,10,0.26666666666666666,6,0,3,6,false,exploratory,false,false,false,other,other,intl_zh_word,
160,lpw_9b952dd4e3,的话,的话,14,14,0.004934790271413465,2,11,0.14285714285714285,4,4,3,3,false,exploratory,false,false,false,other,other,intl_zh_word,
161,lpw_58ed4c69fb,接着,接着,14,14,0.004934790271413465,2,10,0.21428571428571427,5,2,3,4,false,exploratory,false,false,false,other,other,intl_zh_word,
162,lpw_88d5840fab,请,请,14,14,0.004934790271413465,1,6,0.35714285714285715,5,3,2,4,false,exploratory,false,false,false,other,other,intl_zh_word,
163,lpw_7ca71b72d7,如果,如果,14,14,0.004934790271413465,2,7,0.2857142857142857,2,5,3,4,false,exploratory,false,false,false,function,function,intl_zh_word,
164,lpw_3f1784ce8b,商人,商人,14,14,0.004934790271413465,2,6,0.42857142857142855,0,7,2,5,false,exploratory,false,false,false,noun_or_entity,narrative_character,custom_phrase,
165,lpw_5484678be4,时候,时候,14,14,0.004934790271413465,2,11,0.14285714285714285,6,6,1,1,false,exploratory,false,false,false,other,other,intl_zh_word,
166,lpw_22c95798a9,使,使,14,14,0.004934790271413465,1,9,0.2857142857142857,3,3,2,6,false,exploratory,false,false,false,other,other,intl_zh_word,
167,lpw_e66d9fac19,事情,事情,14,14,0.004934790271413465,2,10,0.21428571428571427,6,2,5,1,false,exploratory,false,false,false,other,other,intl_zh_word,
